release_date,year,artistName,trackName,trackID,acoustincess,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,chart_position,genres
1950-11-22 00:00:00,1950,Patti Page,All My Love,19vjeNqhgk0vhH5TuxDok9,0.888,0.627,194333,0.193,1.49e-06,8,0.119,-14.935,1,0.0451,123.231,4,0.596,19,21,"['adult standards', 'brill building pop', 'easy listening', 'lounge']"
1950-12-31 00:00:00,1950,Bill Snyder,Bewitched,56GnH4I38Rq1O4WaqWc5rl,0.973,0.43,168026,0.145,0.916,6,0.103,-24.295,1,0.0351,78.801,4,0.185,5,24,['deep adult standards']
1951-01-01 00:00:00,1951,Les Paul and Mary Ford,The World Is Waiting For The Sunrise,0bxWyyGLSCdMSs67QhsCS7,0.7809999999999999,0.647,132387,0.578,0.00393,1,0.272,-9.614,1,0.0317,133.681,4,0.888,7,19,['space age pop']
1951-01-01 01:00:00,1951,Patti Page,Mockin' Bird Hill,5yzlxi4VFO8UkxepsL0guW,0.75,0.561,178867,0.3,0.0,3,0.28300000000000003,-13.995,1,0.0422,109.795,4,0.563,34,14,"['adult standards', 'brill building pop', 'easy listening', 'lounge']"
1951-01-01 02:00:00,1951,Les Paul and Mary Ford,Mockin' Bird Hill,59tzKYwCqbaz5EHfglOvPe,0.83,0.517,137800,0.491,0.0,2,0.242,-9.629,1,0.0347,166.643,3,0.735,7,13,['space age pop']
1951-01-01 03:00:00,1951,Frankie Laine,Jezebel,6SYQwsOxHW5uUYjUpOKtIC,0.835,0.504,190933,0.265,0.0,5,0.604,-16.424,1,0.0344,136.721,4,0.393,27,11,"['adult standards', 'brill building pop', 'cowboy western', 'deep adult standards', 'easy listening', 'lounge', 'rock-and-roll']"
1951-01-01 04:00:00,1951,Mario Lanza,Loveliest Night Of The Year,4hZa5a5GvKiREa07xWLKSH,0.938,0.266,216038,0.325,0.00359,8,0.297,-10.535,1,0.0333,72.476,4,0.237,17,9,"['adult standards', 'canzone napoletana', 'classical tenor', 'operatic pop']"
1951-01-01 05:00:00,1951,Frankie Laine,"Rose, Rose I Love You",5hQ3Z5zYqHKZBO0pPb16eI,0.8009999999999999,0.336,152307,0.315,0.0,0,0.175,-14.154000000000002,1,0.0432,202.391,4,0.938,24,23,"['adult standards', 'brill building pop', 'cowboy western', 'deep adult standards', 'easy listening', 'lounge', 'rock-and-roll']"
1951-01-01 06:00:00,1951,Billy Eckstine,I Apologize,184kqbmjYJoWXwaqNk7BWT,0.952,0.185,171987,0.3670000000000001,0.0475,1,0.0648,-10.074,1,0.0335,170.41,5,0.201,12,25,"['adult standards', 'big band', 'swing', 'vocal jazz']"
1951-01-01 07:00:00,1951,Rosemary Clooney,Come On-a My House,3GVyT9fBXuEkGs1STo2WHZ,0.826,0.527,116933,0.633,0.0,10,0.422,-8.56,0,0.114,183.174,4,0.961,42,4,"['adult standards', 'big band', 'brill building pop', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']"
1951-01-01 08:00:00,1951,Les Paul and Mary Ford,How High The Moon,6bLNg7IUmw1IFpCZ3pcvz4,0.72,0.652,127307,0.653,0.0647,11,0.298,-8.593,0,0.0449,119.2,4,0.799,9,3,['space age pop']
1951-01-01 09:00:00,1951,Les Baxter,Because Of You,4WToccEJeXgFNyfNPuSYCS,0.865,0.238,170800,0.207,1.49e-06,5,0.135,-12.894,0,0.0301,97.574,4,0.303,17,30,"['adult standards', 'easy listening', 'exotica', 'laboratorio', 'library music', 'lounge']"
1951-01-01 10:00:00,1951,Nat King Cole,Too Young,0zII0Soax7wbm3Avw7iVAd,0.805,0.201,204627,0.213,8.22e-05,8,0.126,-14.531,1,0.0298,96.324,4,0.203,40,1,"['adult standards', 'lounge', 'vocal jazz']"
1951-01-01 11:00:00,1951,Ames Brothers and Les Brown,Undecided,44njowq2Kgw66EMGGo8YhJ,0.755,0.759,179267,0.441,0.0,8,0.343,-10.013,1,0.044,134.968,4,0.8140000000000001,0,28,"['big band', 'motivation', 'swing']"
1951-03-07 00:00:00,1951,Dinah Shore,Sweet Violets,2yoRwAVx2vBYrvUB7UznMT,0.968,0.8420000000000001,164937,0.108,0.0005139999999999999,7,0.292,-16.605,1,0.0448,94.493,4,0.787,4,18,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']"
1951-03-27 00:00:00,1951,Eddy Howard,(It's No) Sin,6HSFcF4OFgk8MBkKWvZpQ6,0.938,0.373,170318,0.158,0.0,8,0.0829,-11.262,1,0.0376,79.415,3,0.207,1,16,['deep adult standards']
1951-07-13 00:00:00,1951,Del Wood,Down Yonder,3UYeTr8hsTPi5rfKd7zUsm,0.7340000000000001,0.684,146520,0.654,0.932,10,0.103,-9.647,1,0.0378,135.028,4,0.975,9,24,"['honky-tonk piano', 'old west', 'ragtime']"
1951-07-16 00:00:00,1951,Debbie Reynolds and Carleton Carpenter,Aba Daba Honeymoon,4SEnGAENoCF36EJajDOEuM,0.815,0.602,196267,0.34600000000000003,1.42e-06,7,0.061,-10.639,0,0.297,134.14700000000002,4,0.629,0,22,['vintage hollywood']
1951-07-24 00:00:00,1951,Weavers,On Top Of Old Smoky,1ptQGJd41JpW6gCvrKrtTl,0.913,0.55,147072,0.28,1.42e-06,4,0.14300000000000002,-12.472,1,0.0424,139.315,4,0.701,5,6,"['american folk revival', 'folk', 'traditional folk']"
1951-07-31 00:00:00,1951,Tony Martin,I Get Ideas,337MjXbvx4dDSgOYSfawii,0.882,0.354,159467,0.229,3.85e-06,7,0.198,-10.461,1,0.0766,200.543,4,0.518,22,12,[]
1951-08-11 00:00:00,1951,Vaughn Monroe,Sound Off,7zYRrbdbYqogTo9b3sZnaz,0.743,0.674,163989,0.6509999999999999,0.0197,5,0.0782,-9.377,1,0.0435,114.207,4,0.669,15,17,"['adult standards', 'big band', 'lounge', 'swing']"
1951-09-03 00:00:00,1951,Guy Mitchell and Mitch Miller,"My Truly, Truly Fair",5UKcLXMxnK07HqmnHCi1C7,0.8,0.873,169040,0.3,0.0,9,0.0909,-12.112,1,0.0348,109.38,4,0.96,28,20,"['adult standards', 'brill building pop', 'deep adult standards', 'rock-and-roll']"
1951-09-26 00:00:00,1951,Tony Bennett,"Cold, Cold Heart",6U5Iv1vX8qUOVCMijAgZhL,0.954,0.34,195427,0.123,1.18e-06,5,0.151,-12.329,0,0.0432,75.003,4,0.3,23,7,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
1951-09-26 01:00:00,1951,Tony Bennett,Because Of You,1hVEHu6SemMvlYAP5MWkDj,0.94,0.248,242040,0.22,0.00197,7,0.109,-10.768,0,0.0299,71.377,4,0.191,31,2,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
1951-10-20 00:00:00,1951,Patti Page,Would I Love You,7gcRqbWoSKuwMLUSb91nI3,0.532,0.5589999999999999,148560,0.355,0.0,7,0.26,-15.050999999999998,0,0.0262,96.993,4,0.601,33,26,"['adult standards', 'brill building pop', 'easy listening', 'lounge']"
1951-10-25 00:00:00,1951,Perry Como,If,53Cu1gqTLfrOvMIIHSALGE,0.901,0.25,187573,0.16899999999999998,4.15e-05,7,0.0526,-12.349,0,0.0295,76.476,4,0.2,13,8,"['adult standards', 'brill building pop', 'easy listening', 'lounge']"
1951-10-26 00:00:00,1951,Perry Como and The Fontane Sisters,You're Just In Love,6vNnpTuDLuGcD7gX5xbSZc,0.962,0.6920000000000001,175960,0.118,1.02e-06,2,0.196,-12.363,1,0.0483,75.243,4,0.607,14,27,"['adult standards', 'brill building pop', 'easy listening', 'lounge']"
1951-12-30 00:00:00,1951,Mario Lanza,Be My Love,2rfBRKEIIqfDOTWZPcEVP6,0.966,0.249,208533,0.361,0.0,1,0.24,-10.698,1,0.0386,117.831,4,0.194,25,5,"['adult standards', 'canzone napoletana', 'classical tenor', 'operatic pop']"
1952-01-01 00:00:00,1952,Jo Stafford,Jambalaya,5GiwnZ1KhRI6VS5SSwfeht,0.8390000000000001,0.721,152227,0.4320000000000001,0.0,4,0.0579,-11.171,1,0.0424,109.592,4,0.654,34,15,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']"
1952-01-01 01:00:00,1952,Doris Day,A Guy Is A Guy,1lZSR5NKeNGuCPSTNL7BhW,0.901,0.727,159507,0.285,0.0,2,0.141,-14.098,1,0.0457,120.195,4,0.759,40,17,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'swing', 'vocal jazz']"
1952-01-01 02:00:00,1952,Eddie Fisher and Hugo Winterhalter,I'm Yours,6ccGw27RDkadXxp0sN5bhV,0.851,0.304,167914,0.132,0.0,7,0.34700000000000003,-16.345,1,0.033,78.226,4,0.325,0,20,"['adult standards', 'deep adult standards', 'easy listening', 'lounge']"
1952-01-01 03:00:00,1952,Johnny Standley,It's In The Book,0ul5asAv5Tf1CdqxViFHh9,0.943,0.525,366000,0.376,0.0,5,0.277,-21.928,1,0.892,113.214,4,0.151,2,22,['deep adult standards']
1952-01-01 04:00:00,1952,Don Cornell,I'm Yours,6yfz8UVCbhJOjckHD0O7wR,0.778,0.29100000000000004,174320,0.28300000000000003,0.00015,2,0.299,-10.021,1,0.0297,106.678,1,0.29100000000000004,4,26,['deep adult standards']
1952-01-01 05:00:00,1952,Les Paul,Meet Mr. Callaghan,48CBKfNR2MYfEAwguqi8cf,0.83,0.606,112213,0.315,0.196,3,0.101,-11.912,1,0.054000000000000006,122.46,4,0.8909999999999999,5,25,['space age pop']
1952-01-01 06:00:00,1952,Ella Mae Morse,Blacksmith Blues,33FiJdNiWACHYd5yk0en35,0.498,0.838,186760,0.294,2.24e-06,10,0.21,-11.298,1,0.0453,127.659,4,0.8059999999999999,18,14,"['big band', 'jump blues', 'swing']"
1952-01-01 07:00:00,1952,Don Cornell,I'll Walk Alone,2YyEexpDZJ0RD1seMUwm3J,0.934,0.311,188013,0.209,7.65e-05,9,0.333,-9.818,0,0.0304,166.822,4,0.381,2,27,['deep adult standards']
1952-01-01 08:00:00,1952,Pee Wee King,Slow Poke,6yCqSHeKM38BFFEVyotnA7,0.813,0.6970000000000001,180992,0.189,0.000205,7,0.0827,-17.669,1,0.0527,135.114,4,0.773,29,23,['western swing']
1952-01-01 09:00:00,1952,Georgia Gibbs,Kiss Of Fire,2I72eh7OeEqBieQJF8DUue,0.8909999999999999,0.511,150383,0.546,0.0,11,0.196,-4.184,0,0.0382,106.852,4,0.727,29,11,['deep adult standards']
1952-01-01 10:00:00,1952,Rosemary Clooney,Botch-a-me,72HUHsM38XhUE7YjA7oxLz,0.802,0.642,136867,0.664,0.0,0,0.138,-8.485,1,0.0934,148.866,4,0.959,38,16,"['adult standards', 'big band', 'brill building pop', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']"
1952-01-01 11:00:00,1952,Al Martino,Here In My Heart,0mRAY4VhmgEsBvLEFxB6Vm,0.8,0.177,193373,0.279,0.0024,9,0.153,-10.951,0,0.0312,82.96700000000001,3,0.155,26,9,"['adult standards', 'brill building pop', 'easy listening', 'lounge']"
1952-01-01 12:00:00,1952,Rosemary Clooney,Half As Much,5vIe5BmOlPXarqRxJh9FNE,0.944,0.277,166373,0.189,0.0,10,0.232,-12.424,1,0.0329,86.655,1,0.208,37,6,"['adult standards', 'big band', 'brill building pop', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']"
1952-01-01 13:00:00,1952,Jo Stafford,You Belong To Me,3xZe0jFAwc3akvChOrPS7u,0.945,0.371,192560,0.145,0.0,5,0.112,-14.587,1,0.0315,68.722,4,0.16699999999999998,44,4,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']"
1952-03-17 00:00:00,1952,Vera Lynn,"Auf Wiederseh'n, Sweetheart",3rIhZKroSQQjNcgGQsdaJF,0.846,0.149,160347,0.13699999999999998,1.96e-05,8,0.232,-15.349,1,0.0326,82.853,3,0.253,37,5,"['adult standards', 'big band', 'easy listening', 'lounge']"
1952-03-20 00:00:00,1952,Hilltoppers,Trying,6o2qB9PCAIHeVJpKUq8Ht7,0.952,0.387,181021,0.309,6.94e-05,5,0.3670000000000001,-6.641,0,0.029,78.395,4,0.377,0,29,"['deep adult standards', 'vocal harmony group']"
1952-03-23 00:00:00,1952,Frankie Laine,High Noon,2KA7Kytj9Ahdb6tX74EJJ3,0.955,0.527,157431,0.31,3.79e-05,3,0.13,-11.219,1,0.0354,141.464,4,0.429,29,19,"['adult standards', 'brill building pop', 'cowboy western', 'deep adult standards', 'easy listening', 'lounge', 'rock-and-roll']"
1952-03-23 01:00:00,1952,Kay Starr,Wheel Of Fortune,48UQErROPpcdYVdBM9O5vd,0.917,0.495,186560,0.35700000000000004,0.0,8,0.393,-5.172999999999999,1,0.0394,70.477,4,0.339,2,2,"['adult standards', 'big band', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']"
1952-09-03 00:00:00,1952,Johnnie Ray,Cry,4wnFpRgQu2gLN8d76dYOGr,0.8490000000000001,0.479,181693,0.0952,0.0,0,0.657,-15.5,1,0.0274,69.78399999999999,4,0.35,36,3,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'rock-and-roll']"
1952-09-03 01:00:00,1952,Johnnie Ray,"Please, Mr. Sun",5n07Qq7XrGE3w9OAnd871P,0.97,0.336,177533,0.0995,0.0,4,0.0875,-16.101,0,0.0362,175.601,3,0.224,11,30,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'rock-and-roll']"
1952-09-03 02:00:00,1952,Johnnie Ray,The Little White Cloud That Cried,3Z0PGLxK7iNftaG0qlhW4V,0.968,0.46,133933,0.0206,3.21e-05,7,0.14400000000000002,-19.235,1,0.0368,131.701,4,0.264,19,18,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'rock-and-roll']"
1952-09-03 03:00:00,1952,Johnnie Ray,Walkin' My Baby Back Home,6JUygdnYt24lSMdXqlfSCt,0.949,0.718,140307,0.0558,0.0,2,0.0916,-19.227,1,0.109,128.94899999999998,5,0.598,22,24,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'rock-and-roll']"
1952-09-07 00:00:00,1952,Patti Page,I Went To Your Wedding,4cS2Ya30FLHqNb3hwbtjrJ,0.927,0.53,194373,0.0853,0.0,0,0.126,-12.223,1,0.0327,78.372,3,0.112,28,8,"['adult standards', 'brill building pop', 'easy listening', 'lounge']"
1952-09-16 00:00:00,1952,Mills Brothers,Glow Worm,7ryskwcWObqVASz7Kk5kN0,0.76,0.6829999999999999,162680,0.32,0.0,0,0.333,-9.669,1,0.0437,150.139,4,0.8690000000000001,16,21,"['adult standards', 'big band', 'lounge', 'swing', 'vocal harmony group', 'vocal jazz']"
1952-09-20 00:00:00,1952,Four Aces,Tell Me Why,4KmHDLhbOlSFiVwVIkw46l,0.8490000000000001,0.483,193800,0.277,0.0,10,0.0904,-4.961,1,0.0302,70.828,4,0.506,12,13,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge', 'vocal harmony group']"
1952-10-28 00:00:00,1952,Leroy Anderson,Blue Tango,4zhKZscCEfj2IBf7Mo0npL,0.688,0.63,117400,0.377,0.274,7,0.0888,-16.787,1,0.0382,131.14700000000002,4,0.899,32,1,"['american modern classical', 'easy listening', 'space age pop']"
1952-11-08 00:00:00,1952,Percy Faith,Delicado,2CFMsXx3SRAetoYdtEZNgg,0.743,0.498,172613,0.812,0.711,4,0.101,-8.017999999999999,1,0.0319,99.406,4,0.8340000000000001,39,10,"['adult standards', 'easy listening', 'lounge']"
1952-12-10 00:00:00,1952,Eddie Fisher and Hugo Winterhalter,Tell Me Why,0MSopaaoew9Fu5qLSXhP0O,0.828,0.397,155533,0.18600000000000005,0.0,0,0.35700000000000004,-8.177999999999999,1,0.0312,176.75400000000005,4,0.477,0,28,"['adult standards', 'deep adult standards', 'easy listening', 'lounge']"
1952-12-10 01:00:00,1952,Eddie Fisher and Hugo Winterhalter,Wish You Were Here,0W4LfozdfZEraucOrLmNwk,0.924,0.441,179093,0.111,0.000385,7,0.14400000000000002,-13.505999999999998,1,0.0365,65.355,3,0.285,0,7,"['adult standards', 'deep adult standards', 'easy listening', 'lounge']"
1953-01-01 00:00:00,1953,Stan Freberg,St. George And The Dragonet,3ypAFORUcPqXcW0Zs1xesi,0.825,0.617,206253,0.278,0.0,7,0.0225,-12.2,1,0.937,174.6,3,0.555,11,15,"['comic', 'parody']"
1953-01-01 01:00:00,1953,Eartha Kitt,C'est Si Bon,1guHQac8sGYR17kRUJVJN4,0.8109999999999999,0.52,179907,0.249,0.0,5,0.0962,-15.772,0,0.055,75.753,4,0.534,45,29,"['adult standards', 'lounge', 'torch song', 'vocal jazz']"
1953-01-01 02:00:00,1953,June Valli,Crying In The Chapel,03oOB7N6IqOiaAPFuidl4L,0.902,0.406,168068,0.313,0.0,8,0.0711,-3.0610000000000004,1,0.0283,93.638,3,0.429,7,24,['deep adult standards']
1953-01-01 03:00:00,1953,Ray Anthony,Dragnet,4WWkeCAw0u3GISYY5UIkZJ,0.816,0.5539999999999999,172307,0.74,0.905,0,0.16,-9.1,0,0.159,95.008,4,0.284,15,22,"['big band', 'easy listening']"
1953-01-01 04:00:00,1953,Julius La Rosa,Eh Cumpari,1xuRZXmysvMhubgNRiVAhl,0.856,0.8540000000000001,147587,0.29,0.0,3,0.0623,-10.461,1,0.0774,132.065,4,0.727,29,18,['deep adult standards']
1953-01-01 05:00:00,1953,Gaylords,Tell Me You're Mine,2rUiDBSHh5ItriVr2SPHsO,0.787,0.855,136867,0.523,3.83e-06,2,0.0939,-8.821,0,0.0551,95.111,4,0.7559999999999999,12,17,"['deep adult standards', 'vocal harmony group']"
1953-01-01 06:00:00,1953,Hilltoppers,P.S. I Love You,21zPesCOS7xunfGPxk58LI,0.823,0.594,163547,0.196,0.0,7,0.302,-16.008,0,0.0312,75.523,3,0.333,12,16,"['deep adult standards', 'vocal harmony group']"
1953-01-01 07:00:00,1953,Frankie Laine,I Believe,049uxirFkHOefJ0yqPW8Kk,0.977,0.402,130893,0.159,1.76e-05,1,0.155,-18.598,1,0.0306,67.796,4,0.282,42,10,"['adult standards', 'brill building pop', 'cowboy western', 'deep adult standards', 'easy listening', 'lounge', 'rock-and-roll']"
1953-01-01 08:00:00,1953,Nat King Cole,Pretend,2Gd007dAbihobxsTG9m7cZ,0.932,0.387,164400,0.275,0.0,10,0.101,-11.248,1,0.0295,83.029,4,0.311,47,13,"['adult standards', 'lounge', 'vocal jazz']"
1953-01-01 09:00:00,1953,Perry Como,Don't Let The Stars Get In Your Eyes,67wujxNGj79fzPuROJRXLQ,0.809,0.8079999999999999,160773,0.421,0.0,8,0.0724,-12.533,1,0.042,122.752,4,0.963,27,9,"['adult standards', 'brill building pop', 'easy listening', 'lounge']"
1953-01-01 10:00:00,1953,Les Baxter,April In Portugal,6qFMhW7m0DnQQPvEjWuhzj,0.556,0.466,165160,0.245,0.889,0,0.0989,-14.049,1,0.0374,105.257,4,0.615,21,7,[]
1953-01-01 11:00:00,1953,Ames Brothers,"You, You, You",3GjQ6BVkX9eamZQ3EpyLSd,0.8240000000000001,0.35700000000000004,175613,0.17800000000000002,0.000282,4,0.331,-11.148,1,0.0287,97.181,4,0.261,22,5,"['adult standards', 'deep adult standards', 'easy listening', 'vocal harmony group']"
1953-01-01 12:00:00,1953,Percy Faith,Song From Moulin Rouge,3nUCNwYCcAkzqRMmTixNco,0.964,0.194,230684,0.225,0.877,7,0.193,-17.839000000000006,1,0.04,116.111,5,0.0449,37,1,"['adult standards', 'ballroom', 'easy listening', 'lounge']"
1953-01-01 13:00:00,1953,Les Paul and Mary Ford,Vaya Con Dios,1zbVjTyLg0X9cGU4rQXzEP,0.911,0.386,170693,0.147,0.0014199999999999998,4,0.084,-16.480999999999998,1,0.0452,195.923,3,0.21,9,2,['space age pop']
1953-01-06 00:00:00,1953,Joni James,Have You Heard?,4UDM4hnn0jXeJLCREFCKD8,0.862,0.344,181440,0.08900000000000001,0.0,8,0.344,-16.565,1,0.03,88.152,4,0.205,18,30,"['adult standards', 'deep adult standards', 'easy listening']"
1953-02-05 00:00:00,1953,Patti Page,Doggie In The Window,1mMSH14XSSjzLvNuf62azx,0.795,0.639,158427,0.29,0.0,2,0.042,-11.688,1,0.044,122.895,3,0.667,44,3,"['adult standards', 'brill building pop', 'easy listening', 'lounge']"
1953-02-16 00:00:00,1953,Frankie Laine and Jimmy Boyd,Tell Me A Story,0CJ5NIQdea3H8LQKUoOvPJ,0.867,0.799,128453,0.285,0.0,1,0.129,-13.970999999999998,1,0.0704,122.991,4,0.965,0,23,[]
1953-03-26 00:00:00,1953,Teresa Brewer,Till I Waltz Again With You,5JSa7B1wgW5x5aNIziHjfM,0.978,0.573,180720,0.0429,5.65e-06,3,0.0805,-15.463,1,0.0541,116.305,3,0.406,30,6,"['adult standards', 'deep adult standards']"
